Designator,Mid X,Mid Y,Rotation,Layer
BZ1,165.54,-75.82,0.0,top
C1,145.93,-82.87,180.0,top
C10,127.36,-85.19,180.0,top
C11,125.98,-83.57,0.0,top
C12,185.84,-105.34,270.0,top
C13,186.99,-92.495,270.0,top
C14,125.77,-94.07,90.0,top
C15,125.86,-85.65,270.0,top
C16,187.01,-97.665,90.0,top
C17,153.99,-92.0,180.0,bottom
C18,149.93,-92.08,0.0,bottom
C19,154.99,-102.1,0.0,bottom
C2,147.574,-104.14,180.0,bottom
C20,160.04,-104.32,270.0,bottom
C3,127.345,-95.59,180.0,top
C4,127.335,-94.55,180.0,top
C5,147.95,-83.8425,270.0,bottom
C6,127.35,-81.97,180.0,top
C7,134.26,-79.81,270.0,top
C8,129.81,-98.04,180.0,top
C9,144.14,-99.13,0.0,top
D1,150.8,-72.31,90.0,top
D2,153.39,-72.31,90.0,top
D3,155.98,-72.31,90.0,top
D4,158.57,-72.31,90.0,top
J1,154.9325,-127.51,0.0,bottom
J10,139.31,-99.52,90.0,bottom
J11,164.75,-99.56,90.0,bottom
J12,171.61,-99.48,270.0,bottom
J13,149.5,-75.25,270.0,bottom
J14,159.27,-75.25,90.0,bottom
J15,149.63,-118.79,270.0,bottom
J16,159.74,-118.79,90.0,bottom
J2,146.31,-76.8,270.0,top
J3,132.1,-103.91,90.0,top
J4,177.87,-97.17,180.0,top
J5,150.915,-87.99,270.0,top
J6,150.905,-95.64,270.0,top
J7,156.175,-95.64,270.0,top
J8,156.155,-87.99,270.0,top
J9,146.155,-99.52,270.0,bottom
Q1,173.5225,-82.42,0.0,top
R1,143.08,-78.83,90.0,top
R2,143.09,-76.77,90.0,top
R3,186.54,-96.075,0.0,top
R4,186.52,-94.105,0.0,top
R5,172.54,-80.11,0.0,top
RN1,154.62,-75.72,0.0,top
SW1,184.32,-109.695,90.0,top
SW2,184.31,-99.955,90.0,top
SW3,184.29,-90.23,270.0,top
U1,154.28,-86.45,180.0,bottom
U2,163.03,-117.49,0.0,top
U3,137.605,-89.88,270.0,top
U4,154.74,-107.595,0.0,bottom
U5,144.27,-117.47,0.0,top
Y1,125.97,-90.0,60.0,top
